Compound,Space_Group,Crystal_System,cluster_id,Representative_Compound
AcCuO3_221,221,cubic,161,Sr3La7Mn7(FeO10)3_1
AcFeO3_221,221,cubic,173,VBiO3_14
AcGaO3_221,221,cubic,161,Sr3La7Mn7(FeO10)3_1
AcMnO3_221,221,cubic,173,VBiO3_14
AcNiO3_221,221,cubic,97,La3Mn3O10_1
AcPdO3_221,221,cubic,53,EuMoO3_221
AcScO3_221,221,cubic,170,TlCuF3_123
AcVO3_221,221,cubic,173,VBiO3_14
Ag12SBr_221,221,cubic,70,K2LiLuCl6_225
Ag12SI_221,221,cubic,70,K2LiLuCl6_225
Ag3IrO4_91,91,tetragonal,97,La3Mn3O10_1
Ag3SBr_63,63,orthorhombic,167,Tb3AlC_221
Ag3SI_155,155,trigonal,168,Tl2SnO3_62
Ag6S2IBr_42,42,orthorhombic,168,Tl2SnO3_62
AlAgO3_221,221,cubic,82,K5Na3Ta5Nb3O24_1
AlAuO3_221,221,cubic,50,ErVO3_62
AlBiO3_221,221,cubic,50,ErVO3_62
AlCoO3_221,221,cubic,111,MgFeO3_221
AlCoO3_62,62,orthorhombic,0,AlCoO3_62
AlCrO3_123,123,tetragonal,111,MgFeO3_221
AlFe3B_221,221,cubic,112,MgNi3C_221
AlFe3C_221,221,cubic,112,MgNi3C_221
AlFe3H_221,221,cubic,175,ZnNi3N_221
AlFe3O_221,221,cubic,154,ScBRh3_221
AlFeO3_221,221,cubic,111,MgFeO3_221
AlGaO3_62,62,orthorhombic,0,AlCoO3_62
AlInO3_62,62,orthorhombic,108,LuAlO3_221
AlIrO3_221,221,cubic,108,LuAlO3_221
AlMoO3_221,221,cubic,82,K5Na3Ta5Nb3O24_1
AlNi3C_221,221,cubic,112,MgNi3C_221
AlNiO3_221,221,cubic,1,AlNiO3_221
AlPt3C_221,221,cubic,172,UBRh3_221
AlVO3_221,221,cubic,21,CaSiO3_139
AlVO3_62,62,orthorhombic,2,AlVO3_62
Ba10Ta10(N3O7)3_47,47,orthorhombic,53,EuMoO3_221
Ba10Ti8NbNiO30_139,139,tetragonal,170,TlCuF3_123
Ba10Zn4Cu(WO6)5_12,12,monoclinic,166,SrPrZnBiO6_216
Ba12(CoO3)11_15,15,monoclinic,168,Tl2SnO3_62
Ba14Ir8(PdO11)3_5,5,monoclinic,157,SmScS3_62
Ba15(ZrSe3)14_167,167,trigonal,150,RbCoBr3_185
Ba16Tb8Nb5(SnO16)3_75,75,tetragonal,14,BaSrNdSbO6_216
Ba2(CrS2)5_2,2,triclinic,157,SmScS3_62
Ba2AgIO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2BiIrO6_2,2,triclinic,14,BaSrNdSbO6_216
Ba2BiIrO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2BiSbO6_12,12,monoclinic,14,BaSrNdSbO6_216
Ba2BiSbO6_148,148,trigonal,14,BaSrNdSbO6_216
Ba2BiSbO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2CaBiO6_225,225,cubic,12,BaCaLaSbO6_216
Ba2CaIrO6_225,225,cubic,11,BaCaDyNbO6_216
Ba2CaMoO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2CaNbO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2CaOsO6_225,225,cubic,11,BaCaDyNbO6_216
Ba2CaReO6_225,225,cubic,11,BaCaDyNbO6_216
Ba2CaReO6_87,87,tetragonal,11,BaCaDyNbO6_216
Ba2CaSeO6_225,225,cubic,160,Sr2NdMnO6_225
Ba2CaTeO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2CaUO6_14,14,monoclinic,12,BaCaLaSbO6_216
Ba2CaWO6_12,12,monoclinic,11,BaCaDyNbO6_216
Ba2CaWO6_225,225,cubic,11,BaCaDyNbO6_216
Ba2CaWO6_87,87,tetragonal,11,BaCaDyNbO6_216
Ba2CdMoO6_225,225,cubic,8,Ba2TmMoO6_225
Ba2CdOsO6_225,225,cubic,8,Ba2TmMoO6_225
Ba2CdReO6_225,225,cubic,8,Ba2TmMoO6_225
Ba2CeBiO6_225,225,cubic,6,Ba2ErPaO6_225
Ba2CeHfO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2CePaO6_225,225,cubic,5,Ba2CePaO6_225
Ba2CePrO6_225,225,cubic,5,Ba2CePaO6_225
Ba2CePuO6_225,225,cubic,6,Ba2ErPaO6_225
Ba2CeSnO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2CeZrO6_123,123,tetragonal,14,BaSrNdSbO6_216
Ba2CoMoO6_139,139,tetragonal,53,EuMoO3_221
Ba2CoMoO6_225,225,cubic,53,EuMoO3_221
Ba2CoReO6_166,166,trigonal,166,SrPrZnBiO6_216
Ba2CoWO6_166,166,trigonal,166,SrPrZnBiO6_216
Ba2CrBiO6_225,225,cubic,166,SrPrZnBiO6_216
Ba2CrMoO6_139,139,tetragonal,53,EuMoO3_221
Ba2DyBiO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2DyMoO6_225,225,cubic,8,Ba2TmMoO6_225
Ba2DyNbO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2DyPaO6_225,225,cubic,6,Ba2ErPaO6_225
Ba2DyReO6_225,225,cubic,8,Ba2TmMoO6_225
Ba2DySbO6_201,201,cubic,14,BaSrNdSbO6_216
Ba2DyTaO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2DyUO6_225,225,cubic,6,Ba2ErPaO6_225
Ba2DyWO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2ErMoO6_225,225,cubic,8,Ba2TmMoO6_225
Ba2ErPaO6_225,225,cubic,6,Ba2ErPaO6_225
Ba2ErReO6_12,12,monoclinic,8,Ba2TmMoO6_225
Ba2ErReO6_225,225,cubic,8,Ba2TmMoO6_225
Ba2ErTaO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2ErUO6_225,225,cubic,6,Ba2ErPaO6_225
Ba2EuMgNbO6_1,1,triclinic,160,Sr2NdMnO6_225
Ba2EuMoO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2EuNbO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2EuReO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2EuRuO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2EuSbO6_201,201,cubic,14,BaSrNdSbO6_216
Ba2EuSbO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2EuTaO6_87,87,tetragonal,14,BaSrNdSbO6_216
Ba2FeMoO6_139,139,tetragonal,53,EuMoO3_221
Ba2FeMoO6_44,44,orthorhombic,53,EuMoO3_221
Ba2GdBiO6_225,225,cubic,6,Ba2ErPaO6_225
Ba2GdMoO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2GdNbO6_87,87,tetragonal,14,BaSrNdSbO6_216
Ba2GdPaO6_225,225,cubic,6,Ba2ErPaO6_225
Ba2GdReO6_14,14,monoclinic,14,BaSrNdSbO6_216
Ba2GdReO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2GdSbO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2GdTaO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2GdTaO6_87,87,tetragonal,14,BaSrNdSbO6_216
Ba2GdUO6_225,225,cubic,6,Ba2ErPaO6_225
Ba2HfUO6_225,225,cubic,14,BaSrNdSbO6_216
Ba2HoMoO6_225,225,cubic,8,Ba2TmMoO6_225
Ba2HoPaO6_225,225,cubic,6,Ba2ErPaO6_225
Ba2HoReO6_225,225,cubic,8,Ba2TmMoO6_225
