compound_name,class_index
Ag1Mo1H12.0024C2N2Cl6_164,0
Ag2Bi2H65C24I16N8O_15,1
Ag2Bi2H72C24Br22.08N8Cl1.92_7,2
Ag2Sb2H72C24Br23.472N8Cl0.528_7,3
AgBi2H116C40Br19N10_15,4
AgBiC20(BrN)8_65,5
AgBiH22C12I8N4O_1,6
AgBiH28C8(Br2N)4_2,7
AgBiH34C12I8N4O_14,8
AgBiH36C12(Br2N)4_2,9
AgBiH36C12(Br3N)4_7,10
AgBiH36C12(I3N)4_2,11
AgBiH36C24S4(I2N)4_15,12
AgBiH40C12(Br2N)4_12,13
AgBiH48C16(Br2N)4_12,14
AgBiH48C16(Br2N)4_14,15
AgBiH48C32(Br2N)4_2,16
AgBiH56C20(Br2N)4_2,17
AgBiH80C32(Br2N)4_10,18
AgMoH28C8(NCl2)4_2,19
AgSbH28C8(Br2N)4_2,20
AlBiO3_161,21
AlP3(HO)6_14,22
AlP3(HO)6_15,23
B3C9.1N1F12_221,24
B3H16C7(NF4)3_167,25
B3H18C6N5F12_88,26
B4H163.2C188N16Cl8O12_14,27
B6C12N6.0004F24_226,28
B6C21.44N2F24_226,29
BH43C48N4O3_61,30
BH59C56N4O3_15,31
BH67C60N4O3_61,32
BH6C2NF4_205,33
Ba0.25Bi0.75O1.3749_229,34
Ba0.3592233Ca0.30097087La0.33980583Ti0.81Cd0.025O2.775_221,35
Ba0.37La1.63Mn2O6_15,36
Ba0.46Sr0.14La0.24Pr1.16Mn2O6_74,37
Ba0.4Ca0.2La0.4Ti0.572Zn0.128Cd0.072O2.58_221,38
Ba0.4Ca0.2Nd0.4Ti0.6Zn0.4O2.898_221,39
Ba0.4Pr3.6Co4O12_62,40
Ba0.4Sr0.6Ti1O2.706_221,41
Ba0.4Sr0.8Nd2.8Mn4O12_62,42
Ba0.4Sr1.6Co2O6_194,43
Ba0.4Sr1.6Yb1Re1O6_225,44
Ba0.56696795Ca0.13640099La0.29663106Ti0.886Cd0.114O3_221,45
Ba0.57Fe0.96Bi0.47O2.7_123,46
Ba0.63Fe0.94Bi0.43O2.7_123,47
Ba0.6Nd1.4Mn2O6_74,48
Ba0.6Sr1.4Co2O6_194,49
Ba0.71Fe0.86Bi0.43O2.6451_221,50
Ba0.7Fe0.9Bi0.4O2.67_221,51
Ba0.83916084Na4.00083916Fe3.16F12_204,52
Ba0.89Fe0.74Bi0.37O2.5551_221,53
Ba0.8Fe0.8Bi0.4O2.601_221,54
Ba0.8Pr1.2Co2O6_123,55
Ba0.8Pr3.2Co4O12_62,56
Ba0.8Sr0.2Ti1O2.805_221,57
Ba0.8Sr0.4Nd2.8Mn4O12_62,58
Ba0.8Sr1.2Yb1Re1O6_225,59
Ba0.93Sr1.07Y1Cu3.01Pb0.99O7_107,60
Ba0.96Bi0.86O3_221,61
Ba1.286Ca0.4286La1.0714Y0.214Fe0.114Cu2.886O7.032_123,62
Ba1.286Ca0.4286La1.0714Y0.214Fe0.236Cu2.764O7.24_123,63
Ba1.286Ca0.4286La1.0714Y0.214Fe0.302Cu2.698O7.292_123,64
Ba1.2Pr2.8Co4O12_62,65
Ba1.2Sr0.8Yb1Re1O6_225,66
Ba1.3332Pr2.6668Co4O11.916_62,67
Ba1.5Co1Te0.5O4.5_225,68
Ba1.6Pr2.4Co4O12_62,69
Ba1.6Sr0.4Co2O6_194,70
Ba1.6Sr0.4Yb1Re1O6_225,71
Ba1.6Sr1.2Ca3.2La4Mn4O20.004_194,72
Ba1.8Sr0.2Co2O6_194,73
Ba1.998La4.002Ti5O18_166,74
Ba1.99Ho0.14U0.66Fe1.19O6_225,75
Ba1.99Ho0.54U0.66Fe0.79O6_225,76
Ba10Co7.832Pt2.168Cl2O26_194,77
Ba10Co7Ir3O28.284_194,78
Ba10Co8.056Pt1.944Cl2O26_194,79
Ba10Fe6.822Pt3.178Cl2O26_194,80
Ba10Fe6.902Pt3.098Cl2O26_194,81
Ba10Fe7.386Pt2.614Cl2O26_194,82
Ba10Mn4.002Fe5.998O27.296_194,83
Ba11Ti1.41Nb7.59O33_166,84
Ba12Mn5.064Co6.936O34_194,85
Ba14Ta10.41Mn1.75O42_194,86
Ba16Ca3.6Mn12.4O46_187,87
Ba1Co1O2.22_221,88
Ba1Eu2Ta1O5.502_225,89
Ba1Fe0.67Bi0.33O2.499_221,90
Ba1In0.667Mo0.333O3_221,91
Ba1In0.667W0.333O3_221,92
Ba1La4Cu5O13.12_83,93
Ba1La4Cu5O13.395_83,94
Ba1Li0.188Nb0.812N0.198O2.802_221,95
Ba1Li0.201Ta0.799N0.192O2.808_221,96
Ba1Li1O0.0999F2.7999_221,97
Ba1Mg0.192Nb0.808N0.471O2.529_221,98
Ba1Na0.183Ta0.817N0.297O2.703_221,99
Ba1Na0.209Nb0.791N0.246O2.754_221,100
Ba1Na1.998Fe4F12_204,101
Ba1Nb0.5Co0.5O3_221,102
Ba1Nb1N0.9999O2.0001_221,103
Ba1Nd1Fe2O5.13_123,104
Ba1Nd1Fe2O5.5_123,105
