compound_name,class_index
Ag2.868S1I1_221,0
Ag3S1I0.05Br0.95_221,1
Ag3S1I0.17Br0.83_221,2
Ag3S1I0.25Br0.75_221,3
Ag3S1I0.4Br0.6_221,4
Ag3S1I0.67Br0.33_221,5
Ag3S1I0.6Br0.4_221,6
Ag3S1I0.8Br0.2_221,7
Ag3SBr_221,8
Ag3SI_221,9
AlCo3C_221,10
AlFe3C_221,11
AlPt3C_221,12
Ba0.015Sr0.975Mo1O3_221,13
Ba0.01Sr0.1La0.89Mg0.1Al0.9O2.895_221,14
Ba0.025Nb0.5Fe0.5Pb0.975O3_221,15
Ba0.02La1.98Co2O6_167,16
Ba0.03Sr0.1La0.87Mg0.1Al0.9O2.8851_221,17
Ba0.046Sr0.947Mo1O3_221,18
Ba0.05La0.95Ti0.05Cr0.95O3_221,19
Ba0.05Nb0.5Fe0.5Pb0.95O3_221,20
Ba0.05Sr0.95Ti0.5Mo0.5O3_221,21
Ba0.06La0.94Ti0.06Cr0.94O3_221,22
Ba0.06La1.94Co2O6_167,23
Ba0.06Na0.47Ti1Bi0.47O3_221,24
Ba0.06Na0.47Ti1Bi0.47O3_99,25
Ba0.071Sr0.922Mo1O3_221,26
Ba0.075Nb0.5Fe0.5Pb0.925O3_221,27
Ba0.07La0.93Ti0.07Cr0.93O3_221,28
Ba0.07Na0.465Ti1Bi0.465O3_99,29
Ba0.08La1.92Co2O6_167,30
Ba0.097Sr0.9Mo1O3_221,31
Ba0.09Ti0.16Nb0.56Zn0.28Pb0.91O3_99,32
Ba0.09Ti0.17Nb0.554Zn0.276Pb0.91O3_99,33
Ba0.09Ti0.18Nb0.547Zn0.273Pb0.91O3_99,34
Ba0.09Ti0.19Nb0.54Zn0.27Pb0.91O3_99,35
Ba0.11Ti0.2Nb0.533Zn0.267Pb0.89O3_99,36
Ba0.12La0.88Ti0.12Cr0.88O3_221,37
Ba0.12La1.88Co2O6_167,38
Ba0.12Na0.425Sr0.03Ti1Bi0.425O3_221,39
Ba0.14La0.86Ti0.14Cr0.86O3_221,40
Ba0.15Ca0.05La0.8Mn1O3_221,41
Ba0.15La0.85In1O3_221,42
Ba0.15Nb0.5Fe0.5Pb0.85O3_221,43
Ba0.168Ca1.164La2.668Mn4O12_62,44
Ba0.16La0.84Ti0.16Cr0.84O3_221,45
Ba0.16La1.84Co2O6_167,46
Ba0.18La0.82Ti0.18Cr0.82O3_221,47
Ba0.1Ca0.3La1.6Mn2O6_167,48
Ba0.1Ca0.6La1.3Mn2O6_167,49
Ba0.1Ca0.9La1Mn2O6_74,50
Ba0.1La0.9In1O3_221,51
Ba0.1La0.9Mn1O3_221,52
Ba0.1La0.9Ti0.1Cr0.9O3_221,53
Ba0.1La1.9Co2O6_167,54
Ba0.1Mg0.167Ti0.5Nb0.333Pb0.9O3_99,55
Ba0.1Nb0.5Fe0.5Pb0.9O3_221,56
Ba0.1Pr0.15Fe1Bi0.75O3_221,57
Ba0.1Sr0.4La0.5Mn1O3_123,58
Ba0.1Sr0.4La0.5Mn1O3_221,59
Ba0.1Sr0.4La1.2Mn2O6_167,60
Ba0.1Sr0.5La0.4Ta0.2Co0.8O3_221,61
Ba0.1Zr0.4Ti0.6Pb0.9O3_99,62
Ba0.1Zr0.65Ti0.35Pb0.9O3_221,63
