class_key,compound_name,space_group,label
Ba2PrNbO6|14,Ba2PrNbO6,14,0
Ba3SnO|221,Ba3SnO,221,1
BaBiO3|14,BaBiO3,14,2
BaCeO3|62,BaCeO3,62,3
BaPrO3|62,BaPrO3,62,4
BaZrO3|221,BaZrO3,221,5
Ca2MgReO6|14,Ca2MgReO6,14,6
Ca2TaCrO6|14,Ca2TaCrO6,14,7
Ca3BiN|221,Ca3BiN,221,8
Ca3GeN|221,Ca3GeN,221,9
Ca3PN|221,Ca3PN,221,10
Ca3PbO|221,Ca3PbO,221,11
Ca3SbN|221,Ca3SbN,221,12
Ca3SnN|221,Ca3SnN,221,13
Ca3SnO|221,Ca3SnO,221,14
CaMoO3|62,CaMoO3,62,15
CaNiH3|221,CaNiH3,221,16
CaSiO3|221,CaSiO3,221,17
CaTiO3|221,CaTiO3,221,18
CaTiO3|62,CaTiO3,62,19
CdGeO3|62,CdGeO3,62,20
CdNi3N|221,CdNi3N,221,21
CeBRh3|221,CeBRh3,221,22
CsPbBr3|62,CsPbBr3,62,23
DyBRh3|221,DyBRh3,221,24
DyCoO3|62,DyCoO3,62,25
ErCoO3|62,ErCoO3,62,26
ErNiO3|14,ErNiO3,14,27
EuNbO3|221,EuNbO3,221,28
GdAlO3|62,GdAlO3,62,29
GdMnO3|62,GdMnO3,62,30
HoBRh3|221,HoBRh3,221,31
HoCoO3|62,HoCoO3,62,32
HoNiO3|62,HoNiO3,62,33
HoScO3|62,HoScO3,62,34
InBiO3|62,InBiO3,62,35
KMgF3|221,KMgF3,221,36
La2CoRuO6|14,La2CoRuO6,14,37
La2MgRhO6|14,La2MgRhO6,14,38
La2MnCoO6|14,La2MnCoO6,14,39
La2MnNiO6|14,La2MnNiO6,14,40
La2NiRuO6|14,La2NiRuO6,14,41
La2TiCoO6|14,La2TiCoO6,14,42
La2TiNiO6|14,La2TiNiO6,14,43
LaAlO3|221,LaAlO3,221,44
LaBRh3|221,LaBRh3,221,45
LaCrO3|62,LaCrO3,62,46
LaNiO3|167,LaNiO3,167,47
LiLa2SbO6|14,LiLa2SbO6,14,48
LuCoO3|62,LuCoO3,62,49
LuNiO3|14,LuNiO3,14,50
MgSiO3|62,MgSiO3,62,51
Mn3PtN|221,Mn3PtN,221,52
NaMgF3|221,NaMgF3,221,53
NaMgF3|62,NaMgF3,62,54
NaNbO3|62,NaNbO3,62,55
NaNiF3|62,NaNiF3,62,56
NdMnO3|62,NdMnO3,62,57
NdScO3|62,NdScO3,62,58
PrCoO3|62,PrCoO3,62,59
PrNiO3|62,PrNiO3,62,60
ScAlO3|62,ScAlO3,62,61
SmMnO3|62,SmMnO3,62,62
SmScO3|62,SmScO3,62,63
Sr2HoRuO6|14,Sr2HoRuO6,14,64
Sr2NbInO6|14,Sr2NbInO6,14,65
Sr2ScNbO6|14,Sr2ScNbO6,14,66
Sr2TbIrO6|14,Sr2TbIrO6,14,67
Sr2TmTaO6|14,Sr2TmTaO6,14,68
Sr3PbO|221,Sr3PbO,221,69
Sr3SnO|221,Sr3SnO,221,70
SrSnO3|221,SrSnO3,221,71
SrSnO3|62,SrSnO3,62,72
SrTiO3|221,SrTiO3,221,73
SrZrO3|221,SrZrO3,221,74
TbBRh3|221,TbBRh3,221,75
TbCoO3|62,TbCoO3,62,76
TiPbO3|221,TiPbO3,221,77
TlNiO3|14,TlNiO3,14,78
TmBRh3|221,TmBRh3,221,79
TmCoO3|62,TmCoO3,62,80
TmNiO3|14,TmNiO3,14,81
YAlO3|62,YAlO3,62,82
YBRh3|221,YBRh3,221,83
